term,coefficient_literacy,coefficient_risk,variant,fold
categorical__sigla_uf_PI,-0.01782110475529683,0.01782110475529683,completa,2
categorical__sigla_uf_PR,0.7013553429890241,-0.7013553429890241,completa,2
categorical__sigla_uf_RJ,0.07878144503756879,-0.07878144503756879,completa,2
categorical__sigla_uf_RN,-0.7179037618481047,0.7179037618481047,completa,2
categorical__sigla_uf_RO,0.33126613750540446,-0.33126613750540446,completa,2
categorical__sigla_uf_RS,0.2417668191973375,-0.2417668191973375,completa,2
categorical__sigla_uf_SC,0.17013522916564078,-0.17013522916564078,completa,2
categorical__sigla_uf_SE,-0.9403392821150451,0.9403392821150451,completa,2
categorical__sigla_uf_TO,-0.408356169301325,0.408356169301325,completa,2
log__populacao_2021,-0.13290214468598882,0.13290214468598882,completa,2
log__pib_per_capita_2020,0.021516476950144192,-0.021516476950144192,completa,2
shares__participacao_agropecuaria_2020,0.016985873174919723,-0.016985873174919723,completa,2
shares__participacao_servicos_publicos_2020,-0.09576648288481149,0.09576648288481149,completa,2
intercept,0.20142367790625765,-0.20142367790625765,completa,2
