threshold,tp,fp,fn,tn,f2,recall,precision,flag_rate
0.6216523991980948,64750,35934,560632,841493,0.12441338369049101,0.10353671835773975,0.6431011878749354,0.06699720323740409
0.6216248747983077,64802,35963,560580,841464,0.12450942303576115,0.10361986753696141,0.6431002828363023,0.06705110230242166
0.6216146977366264,65383,36393,559999,841034,0.12557695912578784,0.10454889971249572,0.6424206099669864,0.06772384248430773
0.6213932295986357,65573,36518,559809,840909,0.12592664287670355,0.10485271402119024,0.6422995170974914,0.06793344995937607
0.621380419144905,65595,36525,559787,840902,0.12596748869278795,0.10488789252009172,0.6423325499412456,0.06795274715549347
0.6212130690677702,65676,36560,559706,840867,0.1261174207800707,0.10501741335695623,0.6423960248836026,0.0680299359399631
0.6210453459630345,66545,37229,558837,840198,0.12771072221185875,0.10640696406356435,0.6412492531848054,0.06905335275474128
0.6210057161832274,66932,37417,558450,840010,0.12842509450753048,0.10702578583969478,0.6414244506415969,0.0694359695743105
0.6209424544642044,67153,37544,558229,839883,0.12883193124154668,0.10737916985138683,0.6414032875822612,0.06966753592771936
0.620906492690914,67180,37554,558202,839873,0.1288819005917287,0.107422343463675,0.6414344911871981,0.06969215648828295
0.620839297313278,67223,37581,558159,839846,0.12896093053379232,0.1074911014388006,0.6414163581542689,0.06973873592718702
0.6207146148130787,67732,37896,557650,839531,0.12989633148150706,0.10830500398156646,0.6412314916499413,0.07028704246514361
0.6206316036359112,67801,37985,557581,839442,0.13002078000578374,0.10841533654630289,0.6409260204563931,0.07039217891295567
0.6205946438958525,67840,38005,557542,839422,0.13009262579615574,0.10847769843071914,0.6409372195191081,0.07043143872574625
0.6205298060432369,67951,38065,557431,839362,0.13029693842174858,0.10865518994790384,0.6409504225777242,0.07054522564078336
0.6203730430580274,68066,38122,557316,839305,0.13050884375445793,0.1088390775557979,0.6409952160319433,0.07065967797637623
0.620323613969858,68137,38154,557245,839273,0.13063981817756523,0.108952608165889,0.6410420449520655,0.07072821629362082
0.6203043370160756,70200,39090,555182,838337,0.1344406235900013,0.11225139194924062,0.6423277518528685,0.07272381254038271
0.6201686858326151,70519,39252,554863,838175,0.1350266668045291,0.11276148018331196,0.6424192181905968,0.07304387982770931
0.619904584896911,70704,39306,554678,838121,0.13536850698707045,0.11305729937861979,0.6427052086173984,0.07320291534053895
0.6198602315189644,70795,39359,554587,838068,0.1355352604183817,0.11320281044225769,0.6426911414928191,0.0732987359005702
0.6198046682292894,70853,39412,554529,838015,0.13564053506537463,0.1132955537575434,0.642570171858704,0.07337259758226096
0.6194915721421772,70944,39482,554438,837945,0.13580637331285314,0.1134410648211813,0.6424573922808035,0.07347973029174033
0.619474236484927,71119,39608,554263,837819,0.13612568451395443,0.11372089378971573,0.6422914013745519,0.07368002187902788
0.619357101506296,71209,39646,554173,837781,0.13629127122630946,0.11386480583067629,0.6423616435884715,0.07376519571016676
0.6191696584011397,71231,39648,554151,837779,0.13633212589003169,0.11389998432957776,0.6424210175055691,0.0737811658035053
0.6188978254498074,71279,39687,554103,837740,0.13641945206381334,0.11397673741809006,0.6423499089811293,0.07383905739185752
0.6188533933285226,71559,39913,553823,837514,0.1369288174512055,0.11442446376774515,0.6419459595234678,0.07417576019307842
0.6187975442910687,71590,39989,553792,837438,0.13698252693058494,0.11447403347074268,0.6416081879206661,0.07424696019254609
0.6185064271928933,72247,40702,553135,836725,0.13816721279246288,0.1155245913697548,0.6396426705858397,0.07515858635395449
0.618490715116924,72289,40808,553093,836619,0.1382397093273414,0.11559175032220306,0.6391769896637399,0.07525706859620883
0.6184829251024797,72917,41178,552465,836249,0.13938744230342065,0.11659593656357234,0.6390902318243569,0.07592115831086985
0.6184294551530337,74160,41958,551222,835469,0.14165398988251277,0.11858352175150548,0.6386606727639126,0.07726730409519772
0.6182555087489369,74189,42013,551193,835414,0.14170483586924548,0.11862989340914833,0.6384485637080257,0.07732319942188262
0.618202925103902,74223,42091,551159,835336,0.14176371224848558,0.11868426018017787,0.638126106917482,0.07739772652412914
0.6181849614327485,75016,42767,550366,834660,0.14319796312847158,0.11995228516330819,0.636900061978384,0.07837522932055903
0.6179254332739121,77686,44010,547696,833417,0.14807351564334575,0.12422167571180494,0.6383611622403366,0.08097901995529705
0.6177942648454894,77715,44034,547667,833393,0.14812579838118506,0.1242680473694478,0.6383214646526871,0.08101428724475299
0.617073090057976,77766,44052,547616,833375,0.14821910643887615,0.12434959752599212,0.6383785647441265,0.0810602012631013
0.6166910511536856,77799,44096,547583,833331,0.14827765099261536,0.12440236527434433,0.6382460314204849,0.08111143864589579
0.616623787863649,77989,44184,547393,833243,0.14862402385027867,0.12470617958303884,0.6383488986928372,0.08129642556040055
0.6165792548675042,78137,44227,547245,833200,0.14889522891948298,0.12494283493928511,0.6385619953581119,0.08142352088655311
0.6164788944143023,78185,44252,547197,833175,0.1489825512154316,0.12501958802779742,0.6385733070885435,0.08147209658712451
0.6164028818151631,78849,44664,546533,832763,0.15018622566276107,0.12608133908555091,0.6383862427436788,0.08218808910513578
0.6163079539126564,78945,44710,546437,832717,0.15036094626546034,0.1262348452625755,0.6384295014354454,0.08228257882405549
0.6162563761228776,79230,44921,546152,832506,0.15087525931387652,0.1266905667256173,0.6381744810754646,0.08261262741971867
0.6160958471371528,79259,44964,546123,832463,0.15092634450105893,0.12673693838326014,0.6380380444845157,0.0826605376997343
0.6160176170511702,79296,44994,546086,832433,0.15099294772143385,0.1267961022223217,0.637991793386435,0.08270512087697106
0.6159369848962261,80311,45562,545071,831865,0.1528335415872948,0.12841911023982142,0.638031984619418,0.08375848161675901
0.6159326588333935,80333,45583,545049,831844,0.1528729061399596,0.1284542887387229,0.6379888179421201,0.08378709470065723
0.615848392760594,81047,46229,544335,831198,0.15415185004283316,0.12959599093034338,0.6367814827618719,0.08469206665650791
0.615547044905626,81246,46375,544136,831052,0.15451007150983076,0.12991419644313396,0.6366193651515033,0.08492163674824944
0.6153168190552644,81379,46407,544003,831020,0.15475329306427457,0.13012686645922011,0.6368381512841782,0.08503143113995192
0.6150112936615058,81469,46504,543913,830923,0.15491342273686148,0.13027077850018068,0.6366108476006658,0.08515586478388139
0.61443665992325,82020,46758,543362,830669,0.1559134184387672,0.13115183999539481,0.6369100312165121,0.0856915283312783
0.614315451916508,82086,46794,543296,830633,0.1560328283673103,0.13125737549209923,0.6369180633147113,0.08575940122796709
0.6140238729140453,82190,46863,543192,830564,0.1562202418401106,0.13142367385054254,0.6368701231277072,0.08587451898411574
0.6138494684458358,82201,46878,543181,830549,0.15623960553590863,0.1314412630999933,0.6368270593977332,0.08589181991856583
0.6137371194114398,82221,46902,543161,830525,0.1562750056925073,0.13147324355354006,0.6367649450523919,0.08592109842301983
0.6136310237388265,82404,46957,542978,830470,0.15660865965838924,0.13176586470349322,0.6370080627082351,0.08607946851529369
0.6134906680882763,82528,47146,542854,830281,0.15682566370806955,0.13196414351548333,0.6364267316501381,0.0862877451492505
0.61340755882125,82675,47244,542707,830183,0.15709037651147828,0.13219919984905226,0.6363580384701237,0.08645077318541478
0.6132826105909466,82734,47309,542648,830118,0.1571950747291257,0.1322935421870153,0.6362049475942573,0.08653328533433058
