id_municipio,nome_municipio,sigla_uf,regiao,avaliacoes,municipios,risco_medio,risco_observado,risco_ponderado,observado_ponderado,soma_pesos,erro_risco_pp,meta_alfabetizacao,taxa_alfabetizacao_prevista_pct,gap_referencia_meta_2024_pp,gap_cenario_80pct_pp
3104205,Arcos,MG,Sudeste,364,1,0.3986050560773625,0.11263736263736264,0.3986050560773625,0.11136421159200202,395.1,28.596769343999988,79.0,60.13949439226375,-18.86050560773625,-19.86050560773625
3158953,Santana do Paraíso,MG,Sudeste,328,1,0.3985981130691504,0.29878048780487804,0.3985981130691504,0.3005165171983199,352.36,9.981762526427234,71.41,60.14018869308496,-11.269811306915038,-19.85981130691504
3101508,Além Paraíba,MG,Sudeste,259,1,0.3985981130691504,0.44015444015444016,0.39859811306915033,0.44922722342733185,295.04,-4.155632708528978,70.71,60.14018869308497,-10.569811306915021,-19.859811306915027
5106182,Nova Lacerda,MT,Centro-Oeste,121,1,0.39854808924735663,0.32231404958677684,0.3985480892473566,0.32350265352539803,131.9,7.623403966057979,59.29,60.14519107526435,0.8551910752643508,-19.85480892473565
3155603,Rio Pardo de Minas,MG,Sudeste,268,1,0.3984847996047532,0.13059701492537312,0.39846563808298985,0.12964762624626572,277.83,26.788778467938005,74.39,60.15343619170102,-14.236563808298982,-19.84656380829898
3161106,São Francisco,MG,Sudeste,612,1,0.3982978802879556,0.3790849673202614,0.3983224811300601,0.3853498819766999,656.65,1.9212912967694173,51.71,60.16775188699399,8.45775188699399,-19.83224811300601
3500709,Agudos,SP,Sudeste,330,1,0.39827093009612285,0.3484848484848485,0.3982709300961228,0.3540098941565338,362.9999978,4.978608161127434,61.01,60.17290699038772,-0.8370930096122748,-19.827093009612277
3169307,Três Corações,MG,Sudeste,580,1,0.39825402425194256,0.2982758620689655,0.39825402425194256,0.29746681577283995,617.01,9.997816218297706,55.52,60.174597574805745,4.6545975748057415,-19.825402425194255
3127107,Frutal,MG,Sudeste,525,1,0.39825402425194256,0.26095238095238094,0.39825402425194256,0.26399530555788414,596.45,13.730164329956162,58.24,60.174597574805745,1.9345975748057427,-19.825402425194255
3127701,Governador Valadares,MG,Sudeste,2139,1,0.3982493747268162,0.30388031790556336,0.3990615476864131,0.3061626200936903,2474.11,9.436905682125285,56.68,60.09384523135869,3.4138452313586924,-19.906154768641308
3133303,Itaobim,MG,Sudeste,180,1,0.3982256931763146,0.46111111111111114,0.3986958226283197,0.4700029408881482,204.02,-6.288541793479652,54.67,60.13041773716803,5.460417737168029,-19.86958226283197
3500105,Adamantina,SP,Sudeste,200,1,0.39809199674006734,0.34,0.39809199674006734,0.33939371175193916,215.0000011,5.809199674006732,69.44,60.190800325993266,-9.249199674006732,-19.809199674006734
3126109,Formiga,MG,Sudeste,469,1,0.3979632022060221,0.14285714285714285,0.3981018307722285,0.1409906542056075,535.0,25.510605934887927,69.05,60.18981692277715,-8.86018307722285,-19.810183077222852
3165537,Sarzedo,MG,Sudeste,475,1,0.39785825807618713,0.17473684210526316,0.39785825807618713,0.17614155251141553,525.6,22.312141597092396,80.0,60.214174192381286,-19.785825807618714,-19.785825807618714
3105400,Barão de Cocais,MG,Sudeste,335,1,0.39783733733042353,0.35522388059701493,0.3978373373304235,0.3729863042451593,381.14,4.261345673340861,62.28,60.21626626695765,-2.0637337330423478,-19.783733733042347
3171303,Viçosa,MG,Sudeste,534,1,0.39759935110247924,0.21722846441947566,0.39831586973821353,0.21788074910492974,580.96,18.037088668300356,65.52,60.16841302617865,-5.351586973821348,-19.831586973821352
3503802,Artur Nogueira,SP,Sudeste,505,1,0.3975856510937288,0.45544554455445546,0.3975856510937288,0.4559239517756274,540.9999923,-5.785989346072667,55.03,60.24143489062712,5.2114348906271175,-19.75856510937288
3518602,Guariba,SP,Sudeste,380,1,0.3975856510937288,0.2131578947368421,0.39758565109372873,0.21330957422958893,411.9999968,18.44277563568867,71.35,60.24143489062712,-11.108565109372876,-19.75856510937288
3540200,Pontal,SP,Sudeste,376,1,0.3975856510937288,0.3537234042553192,0.3975856510937288,0.3552795728232497,405.0000003,4.386224683840961,63.34,60.24143489062712,-3.0985651093728848,-19.75856510937288
2606101,Glória do Goitá,PE,Nordeste,197,1,0.3975836285166897,0.3350253807106599,0.39758362851668977,0.33781094527363187,201.0,6.255824780602981,72.07,60.241637148331016,-11.828362851668977,-19.758362851668984
4202404,Blumenau,SC,Sul,2788,1,0.3974288113005363,0.3522238163558106,0.3978043391147579,0.35857464818898255,4108.74,4.520499494472569,66.53,60.21956608852421,-6.310433911475791,-19.78043391147579
4209102,Joinville,SC,Sul,5308,1,0.39727937552785597,0.30708364732479276,0.39734995621372715,0.31417961282383705,7736.53,9.01957282030632,68.23,60.26500437862728,-7.964995621372722,-19.73499562137272
3510203,Capão Bonito,SP,Sudeste,504,1,0.39696845534334435,0.25396825396825395,0.39696845534334435,0.253705430306042,543.9999969,14.30002013750904,65.3,60.303154465665564,-4.996845534334433,-19.696845534334436
3523206,Itararé,SP,Sudeste,486,1,0.39696845534334435,0.4670781893004115,0.39696845534334435,0.46833626490893165,518.0000023,-7.010973395706715,59.9,60.303154465665564,0.40315446566556545,-19.696845534334436
3503208,Araraquara,SP,Sudeste,1853,1,0.3969203893989153,0.33729087965461413,0.39742823242405084,0.340124060992664,2041.9000087,5.962950974430115,59.9,60.25717675759492,0.35717675759492096,-19.74282324240508
4303103,Cachoeirinha,RS,Sul,1162,1,0.39688010153682995,0.5895008605851979,0.39687726523797123,0.5938843864984975,1510.6042489,-19.262075904836795,61.68,60.31227347620287,-1.3677265237971312,-19.68772652379713
3550308,São Paulo,SP,Sudeste,94373,1,0.39677827271576055,0.43407542411494815,0.39724721857386613,0.4389460853598716,107714.3298495,-3.72971513991876,44.37,60.27527814261339,15.90527814261339,-19.724721857386612
2607208,Ipojuca,PE,Nordeste,1323,1,0.3967522662054085,0.35525321239606955,0.3967522662054085,0.35842919476398255,1386.55,4.149905380933894,70.24,60.32477337945915,-9.915226620540842,-19.675226620540847
3519303,Ibaté,SP,Sudeste,394,1,0.39662343710176007,0.30710659898477155,0.39662343710176,0.31216930501724793,430.9999998,8.951683811698851,57.31,60.337656289824,3.0276562898239945,-19.662343710176003
